Método,Num. Características,MAE,R²,Dentro 10%
Todas las características,17,58.421666666666674,0.22972574721607597,50.0
Selección por umbral,3,57.08499999999999,0.2637909799049659,44.44444444444444
RFE,5,59.93388888888889,0.11331450088867923,44.44444444444444
