Métrica,Valor
MAE,58.21563415905083
RMSE,69.077116778452
R²,0.22113909532781306
Error Rel. Medio,14.189275896232042
Dentro 5%,27.77777777777778
Dentro 10%,55.55555555555556
Dentro 15%,66.66666666666666
