N,live weithg,altura_cruz,altura_cadera,profundidad_pecho,ancho_pecho,ancho_ilion,ancho_articulacion_cadera,longitud_oblicua,longitud_cadera,circunferencia_torax,length,width,height,volume,surface_area,point_count,density,std_x,std_y,std_z,avg_distance,max_distance,aspect_ratio_1,aspect_ratio_2,aspect_ratio_3,distance_q1,distance_q3,eigenvalue_1,eigenvalue_2,eigenvalue_3,principal_length_1,principal_length_2,principal_length_3,sphericity,elongation,flatness
57,331.0,110.0,117.0,55.0,32.0,40.0,43.0,138.0,40.0,157.0,1.2696096897125244,2.2922717705368996,0.7342274487018585,2.136815133060035,11.051043176931033,87202,40809.3328481449,0.4933946890764668,0.1767042882072846,0.321784943705091,0.5707383586635298,1.4255894550491994,0.5538652554339812,1.7291776437359316,3.1220186259581024,0.38498697338880883,0.6860379958508421,0.24524532933953141,0.10248445505609231,0.030482827480492945,2.23955502513384,1.31658147537555,0.7066289276454185,0.12429524167732796,0.5821145490024519,0.702561452233815
21,373.0,117.0,120.0,58.0,38.0,36.0,43.0,138.0,41.0,168.0,1.2148677110671997,2.3507816791534424,0.6942346692085266,1.9826569870480908,10.662572365410526,89437,45109.66878499727,0.5133121141563963,0.19258261309728705,0.26939468574431896,0.5698448670972924,1.2906864506173783,0.516793082845828,1.7499381188384457,3.3861484933235744,0.37764960929370733,0.7197911467977791,0.2660508237691122,0.07206783413651277,0.03503640047590786,2.365448040415554,1.2242277493140832,0.7086896520460588,0.13169062955547778,0.7291200488856383,0.5138413566093718
22,394.0,122.0,125.0,63.0,44.0,41.0,49.0,148.0,45.0,177.0,1.3271706104278564,2.3121248483657837,0.6754450500011444,2.07265997219181,11.05345649904968,106345,51308.46420869584,0.5417911044338216,0.1858261432528521,0.28973765375774485,0.5986204574410422,1.2756136940548066,0.5740047348074238,1.9648831691424904,3.4231131731024846,0.4005688555727459,0.7695276150072414,0.29442580276520147,0.08453775335307585,0.03305718262471464,2.307184631466723,1.3124905817441566,0.67787926425084,0.11227678523501237,0.7128724705541757,0.6089654466371992
23,439.0,122.0,125.0,63.0,44.0,41.0,49.0,148.0,45.0,177.0,1.267800211906433,2.1191657185554504,0.7869706079363823,2.1143372068952626,10.704242768809703,97323,46030.027605157244,0.49775454208628783,0.20304168372865794,0.28007291443689514,0.5673127553236629,1.2994791195635345,0.5982543983255076,1.6109880078379248,2.692814315025551,0.3866535847762869,0.7070435214810503,0.24912405627015627,0.07995341797157172,0.03835264802616608,2.1481783176452174,1.3786485461138198,0.8109159228794052,0.15394999824736125,0.6790618330135558,0.5203125895155256
25,434.0,119.0,121.0,58.0,42.0,44.0,43.0,154.0,46.0,174.0,1.2764424085617065,2.1241308450698853,0.8629281222820282,2.339683502916984,11.291561968840028,91611,39155.29595596354,0.5123750745279871,0.20922299127917188,0.27814829145849734,0.5768394243936368,1.2802939410275957,0.6009245671114535,1.4791989918999657,2.4615385571773754,0.38086879687341424,0.73057334040902,0.2706857049630864,0.07943559763792067,0.03355183458607109,2.143600416915529,1.363842765141274,0.7696948444674314,0.12395126144783514,0.7065393695291247,0.5776221796806342
58,416.0,118.0,121.0,60.0,40.0,44.0,47.0,141.0,40.0,177.0,1.2930001020431519,2.278049111366272,0.6453688144683838,1.9009452876360358,10.50032306144439,101340,53310.31916548408,0.5095993371316627,0.16635764241390014,0.33537707249062265,0.5878382548113444,1.3218768333534534,0.5675909687775205,2.003505705661108,3.5298407054930174,0.3918499621790683,0.7408484998287298,0.2628867103313722,0.11167084721079655,0.025290518414337347,2.3236880456573363,1.32141107504409,0.6230034991915858,0.09620310734786978,0.5752130373192545,0.7735262242024773
26,414.0,118.0,121.0,65.0,46.0,41.0,44.0,142.0,45.0,174.0,1.2382735013961792,2.133151113986969,0.8183089420199394,2.161501287139887,10.800582818075938,94345,43647.9036868111,0.5082748526066992,0.1980236381204667,0.28137934997235153,0.5743265942022735,1.2016843532232646,0.580490286542233,1.5132102776973035,2.6067796701835273,0.3920226971839788,0.7155233797831126,0.26119706182466895,0.07924866147666838,0.03628929549993908,2.166768401512062,1.2812687171327304,0.6732876001599717,0.13893454714394385,0.6965943608896152,0.5420831743559098
27,400.0,118.0,118.0,62.0,42.0,42.0,42.0,142.0,43.0,174.0,1.3436589241027832,2.0636762380599976,0.9054165184497833,2.5106086337508664,11.715869066890257,108628,43267.59596843616,0.4810421111650901,0.217067871598597,0.3245829504651761,0.5835263183061257,1.258176246422026,0.651099673157025,1.4840229846958617,2.2792562273917185,0.4185975503489969,0.7275147294417996,0.24949005667024576,0.0969439693895782,0.037443573140758114,2.20000579849197,1.425586448228982,0.7465427538282268,0.15008042260476845,0.611431530845695,0.6137606766410844
28,464.0,125.0,128.0,65.0,45.0,42.0,45.0,159.0,48.0,183.0,1.3409076929092407,2.217639446258545,0.9663736671209335,2.8736568557621456,12.825072084174703,105469,36702.01603525405,0.5057057892162348,0.22068614284449858,0.29304906559181854,0.5866637988019335,1.2539972764021334,0.6046554119388217,1.3875664647445711,2.2948053343231525,0.3991449660607999,0.7393235669365268,0.2654637167252388,0.08656859223781306,0.03828986559527946,2.2562902155928337,1.326164373619024,0.8075733928139486,0.14423766105448743,0.6738967068429408,0.5576933318946304
33,293.0,115.0,118.0,55.0,37.0,37.0,40.0,133.0,42.0,157.0,1.223400354385376,2.2601691484451294,0.9367176592350006,2.5901102596200403,12.056425615304981,102010,39384.42374069608,0.5444935251047228,0.2407057133590187,0.2797239533159474,0.6134181066174668,1.3012697768536317,0.5412870781051973,1.3060502728052588,2.412860616176454,0.40744249564722346,0.7637991572481431,0.3133553146911259,0.07525459190204407,0.044052264160342754,2.3651613064812014,1.262187024868226,0.8149707763096573,0.14058247010670633,0.7598426183509206,0.4146235725032721
59,417.0,122.0,127.0,60.0,43.0,44.0,47.0,149.0,44.0,176.0,1.1139999628067017,1.9816938042640686,0.790184736251831,1.744417216163338,9.307553574187395,78624,45071.78630862473,0.48473167705390063,0.1446388266537478,0.2896319741535573,0.5401129508379566,1.1883463726791723,0.5621453528338612,1.409796863567447,2.507886717306198,0.3504862646298912,0.7063280416366585,0.2358577621477571,0.08300824054365696,0.020910188208684042,2.013965723379291,1.1622047795967896,0.7917382447507653,0.08865592558104786,0.6480580508024365,0.7480950316289786
35,440.0,120.0,122.0,64.0,42.0,43.0,41.0,142.0,45.0,175.0,1.2816143035888672,2.3009451627731323,0.9748594760894775,2.8747867322091003,12.882832553641435,101831,35422.10587626757,0.5164850163581715,0.23254775878025158,0.2883187308984623,0.5977247845689992,1.3285021630463942,0.5569947186591128,1.3146656877459886,2.360283937540491,0.4078388370665226,0.7334949149204869,0.272621314742407,0.0829251661458261,0.04842040896741679,2.265562436609314,1.3177663309513639,0.8601846087642588,0.17761050346766913,0.6958228808184717,0.4160951226522932
60,243.0,100.0,107.0,50.0,29.0,35.0,35.0,141.0,35.0,145.0,1.2658153772354126,2.1739694476127625,1.060481607913971,2.918279903641332,12.79934499672256,104150,35688.83158536133,0.5022847521912728,0.23579932676259938,0.3354723508519702,0.602804703392053,1.3063314188494586,0.5822599662683418,1.1936231310275576,2.0499831693348147,0.39665064560572516,0.7639796988647947,0.28529127201454685,0.11070188067224476,0.024443877126276676,2.3143035437053796,1.3310790925605693,0.6498768315532814,0.0856804239178768,0.6119689190260257,0.7791918531298696
61,399.0,121.0,127.0,61.0,39.0,41.0,46.0,149.0,40.0,176.0,1.2801191806793213,2.2256568670272827,0.7182555198669434,2.0463861435737996,10.73429808554971,111796,54630.94067122638,0.5246953095807648,0.19262953576396794,0.3267653056341228,0.6037604021783279,1.2875960587494673,0.5751646624617043,1.7822615284828762,3.0986978943643693,0.40469524399257706,0.7558640370304666,0.27936476081145123,0.10662673451252652,0.0331991251899058,2.2197034289966515,1.2874886672144215,0.7410262191332403,0.11883791317657472,0.6183243219265904,0.6886416400006552
62,492.0,121.0,125.0,68.0,44.0,44.0,50.0,158.0,46.0,194.0,1.3400001525878906,2.4862080216407776,0.963172659277916,3.2088281383014827,14.033636460973211,125652,39158.22056662434,0.5715462955942119,0.21966189133379613,0.3351602879986639,0.650223734870728,1.5293835797524578,0.5389734651823523,1.391235662349967,2.581269305863261,0.432810769596727,0.8218805207586788,0.33069958047437675,0.11352029399893335,0.043032936485744355,2.4721455173512448,1.3698510190424462,0.8408763337041771,0.1301269763451624,0.6567268279079987,0.6209229647859378
63,605.0,127.0,132.0,70.0,50.0,51.0,55.0,172.0,49.0,202.0,1.2805507183074951,2.254546046257019,0.7615277320146561,2.198576679677952,11.158269561125824,112492,51165.8297114649,0.5323890637290406,0.1941953763122661,0.32904404267497084,0.6110876142101064,1.3739042453145,0.5679860566314252,1.6815549381501056,2.9605567223304075,0.4070127978123679,0.7840613570507542,0.2920981745941391,0.10594055997294491,0.031385024183690796,2.3355512000809617,1.3590134794446214,0.682588589234143,0.10744683436416289,0.6373118040872872,0.7037487418255491
64,495.0,122.0,128.0,65.0,46.0,47.0,52.0,155.0,48.0,190.0,1.2952791452407837,2.5138232707977295,0.759984165430069,2.474586612700409,12.301920756351926,123037,49720.22372081576,0.5714114725823649,0.19096345227512365,0.3322093526662462,0.6389147820889117,1.4581455756665245,0.5152626122478943,1.7043501748589664,3.307731114864975,0.41091970346820833,0.8141799496950015,0.3314746600891225,0.10929863272982179,0.032571719459705155,2.499428081517695,1.3553097962773621,0.7111279849912906,0.09826307522556235,0.670265495708073,0.701993349356711
66,399.0,115.0,122.0,61.0,40.0,43.0,46.0,142.0,42.0,175.0,1.2746087312698364,2.3105399012565613,0.7759713232517242,2.285262187692827,11.454013721049154,118979,52063.610311655204,0.5450834797182075,0.18150941205060958,0.3282610161758248,0.617997739216271,1.4053410325831417,0.5516497380446252,1.6425977263290628,2.977609909054622,0.4172554970009259,0.7897396852671346,0.29857552444257307,0.10714728487756404,0.03209783175974556,2.302468620227332,1.328021979541207,0.7044117655152189,0.10750322491996205,0.6411384185706341,0.7004326166881094
67,486.0,120.0,127.0,62.0,42.0,44.0,50.0,155.0,44.0,186.0,1.3098678588867188,2.2908220291137695,1.113395482301712,3.3409370384232076,14.019332001669966,102033,30540.234319457755,0.49647523920716924,0.2734165969145581,0.3249767026176693,0.6058127668637512,1.371327165710443,0.571789445989157,1.1764623439811712,2.0575097218626888,0.4046134615088454,0.7547944091938654,0.2924038967003121,0.1050449805004292,0.029409462189845137,2.47388572110542,1.3348448373722883,0.7545919997631414,0.10057821568632244,0.6407538282292765,0.7200298191332904
68,495.0,121.0,130.0,67.0,50.0,45.0,52.0,157.0,50.0,193.0,1.27786123752594,2.682905435562134,0.7768859267234802,2.663460841622928,13.010889494820006,115341,43304.93551754987,0.5730834446869588,0.1903448628459383,0.32432346384486405,0.635293313962228,1.5008593229629386,0.4762975319919157,1.6448505418489499,3.453409752030519,0.41118647737539854,0.8127221838561817,0.3349905799038767,0.1050807052233436,0.029774298994067125,2.6963586468471337,1.30499599013657,0.6730409001609841,0.08888100376616757,0.6863174324081118,0.7166530341532882
69,493.0,123.0,132.0,65.0,46.0,43.0,48.0,159.0,47.0,188.0,1.2786253690719604,2.3316250443458557,0.7416994795203209,2.211210066012317,11.317991570868326,118410,53549.86476411076,0.5514353833176998,0.2005176146780582,0.3308519743707775,0.6288961153825345,1.3570715533250755,0.5483837858804105,1.7239129922254839,3.143625024320884,0.41216797080913503,0.7981503041737638,0.3060551655630496,0.10902911586915308,0.03867087535161764,2.306678662751426,1.3014025811008987,0.7523165667044369,0.12635263084181192,0.6437599225990117,0.6453160695347935
70,540.0,122.0,127.0,69.0,50.0,47.0,56.0,153.0,46.0,203.0,1.3388073444366455,2.475211441516876,0.6897602081298828,2.2857489374917694,11.889179297093989,115371,50474.04730573802,0.5453669149118082,0.16964708572225234,0.3456095340402869,0.6208635219227899,1.4070900808504996,0.5408860519876186,1.9409750354641309,3.5885100537008516,0.41064570690098057,0.7871172688353789,0.29950704403139927,0.11817721429128344,0.02797076007064216,2.456052986476728,1.3906675397360195,0.6187160047580249,0.09338932298270021,0.6054275962908766,0.7633151175682669
71,486.0,126.0,133.0,66.0,45.0,46.0,47.0,158.0,46.0,189.0,1.3255562782287598,2.429038166999817,0.8359650075435638,2.6916625287340064,12.717072732104832,123750,45975.30287654762,0.5771408093552592,0.18962043481573318,0.32449594754582145,0.6369102001393334,1.482931208446573,0.5457124125249941,1.5856600052241807,2.9056696692812642,0.40676804037885683,0.8212276796962277,0.3344999775558518,0.10398172075289924,0.035867177910088414,2.475610868931513,1.3999746015765666,0.8429717186399519,0.10722624907829667,0.689142816951199,0.6550626624527335
72,545.0,120.0,131.0,65.0,45.0,47.0,55.0,158.0,48.0,192.0,1.3376190662384033,2.388285756111145,0.9582467079162598,3.061230804549381,13.52990518605128,112433,36728.03757002254,0.5596774370384113,0.20165881697951502,0.3197369377375336,0.6240812939094872,1.339014917617628,0.560074967082856,1.395902595008233,2.492349555058273,0.38663308552504366,0.8202348765775187,0.3227810763220611,0.09850240616523404,0.03485739586369736,2.423501965020073,1.3700206552930783,0.7816369954162726,0.10799082852340984,0.6948321528398668,0.6461264529393789
74,411.0,120.0,129.0,65.0,46.0,46.0,51.0,145.0,47.0,194.0,1.3376893997192383,2.5352657437324524,0.743457704782486,2.5213610555052792,12.54155290507666,122867,48730.42666052345,0.5797853045855258,0.18316746429581374,0.33306800435095185,0.643810890098776,1.4456432520549258,0.5276328144401439,1.7992811038398038,3.4101008402007174,0.40978776480494244,0.8405444988654818,0.3384392040734787,0.11046096989867292,0.03173935280839728,2.5222997950223696,1.3204603419179382,0.7217703946671707,0.09378154902381323,0.6736165060987123,0.7126645471471766
75,512.0,122.0,130.0,66.0,42.0,44.0,52.0,155.0,49.0,190.0,1.3412140607833862,2.347875714302063,1.0061476975679398,3.1683630447402895,13.721546208634834,137627,43437.88829012847,0.5463014174794187,0.2528182702871307,0.3308972619157054,0.6404720694984933,1.4450960858159392,0.5712457659548984,1.3330190627334026,2.333529878344251,0.42299527464300557,0.7994129202314867,0.3200482377037215,0.1095341423456757,0.042276362958145554,2.366139931377218,1.3494447062930843,0.9617275378515578,0.1320937220634912,0.6577573957864601,0.6140348383362808
76,551.0,125.0,130.0,66.0,47.0,48.0,44.0,156.0,49.0,197.0,1.291815996170044,2.26763778924942,0.9447120726108551,2.7674119312625627,12.584059465316503,117938,42616.71299010181,0.5352003778412017,0.21147654826853687,0.32026528641541985,0.6142784041217644,1.3161096749369685,0.5696747524205047,1.3674176858986404,2.400348058411553,0.40243398669978003,0.7947989813163614,0.3012236504832979,0.10236435801258627,0.030147297751062962,2.30253416958361,1.3265250159251298,0.691734251272699,0.10008277139823904,0.6601715773368131,0.7054902864983905
77,479.0,121.0,126.0,62.0,50.0,44.0,52.0,145.0,44.0,190.0,1.3446483612060547,2.2331252694129944,0.805050253868103,2.4173793289953993,11.766111606992965,124504,51503.708378171934,0.5313813761265936,0.20512045603759216,0.34336089524421537,0.6217028458468152,1.3287653902144165,0.6021374526649429,1.670266365044036,2.773895491223412,0.4172192296532427,0.7911340106231715,0.2927992880927971,0.11855897581411146,0.030982561679472404,2.2608765187786353,1.3741580486217246,0.7017839678369402,0.10581501711046878,0.5950844806134348,0.73867384171697
